model_id,sample_name,outcome,model_stage,model_purpose,requested_model_status,mandatory_controls,suggested_predictors,predictors_used,n_predictors_used,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,public_n_outcome_yes,public_n_outcome_no,weighted_total,weighted_outcome_yes,weighted_pct_yes,fit_status,skip_reason,warning_messages,n_parameters,residual_df,null_deviance,residual_deviance,dispersion,model_stage_rank,min_outcome_cell,n_coefficients_reviewed,n_significant_05,n_significant_10,n_extreme_or,n_very_extreme_or,n_or_missing,n_not_estimable_terms,n_wide_ci,n_very_wide_ci,n_possible_conceptual_overlap,n_candidate_for_interpretation,n_coefficients_requiring_review,model_sample_flag,outcome_cell_flag,parameter_pressure_flag,instability_flag,conceptual_review_flag,final_selection_class,suitability_score,selection_priority
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2; num_H1SE1; num_H1WP13; num_H1PF12,a_age_wave1; a_grade_wave1; num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2; num_H1SE1; num_H1WP13; num_H1PF12,1,244,244,184,60,184,60,794954.117228158,609545.168303489,76.67677355126456,fitted,NA,NA,38,206,265.0584311723712,214.9039092917934,0.9989989162464814,1,60,37,6,10,6,7,0,0,13,16,0,0,29,small_model_sample_review,adequate_outcome_cell,high_parameter_pressure_review,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1CO13_yesno__M0_core_controls,main_grade_10_12,a_H1CO13_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,481,481,363,118,363,118,1525590.891950221,1177084.685278844,77.15598536211316,fitted,NA,NA,4,477,516.9640549924464,514.2028814973494,1.001869526605867,2,118,3,0,0,0,0,0,0,0,0,0,0,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP13,a_age_wave1; a_grade_wave1; num_H1WP13,1,268,268,205,63,205,63,876265.522789252,682273.064039452,77.86145252727735,fitted,NA,NA,8,260,283.35957608883626,272.20766513460853,1.0000726654503291,3,63,7,1,1,0,1,0,0,3,1,0,0,4,small_model_sample_review,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1CO13_yesno__M2_school_context,main_grade_10_12,a_H1CO13_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2,a_age_wave1; a_grade_wave1; num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2,1,409,409,303,106,303,106,1283707.277570078,973227.517264644,75.81381941737222,fitted,NA,NA,26,383,452.53110376915185,390.8939287671354,1.0157286985651552,5,106,25,7,10,5,2,0,0,8,3,0,3,13,adequate_model_sample,adequate_outcome_cell,moderate_parameter_pressure_review,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12,a_age_wave1; a_grade_wave1; num_H1PF12,1,476,476,359,117,359,117,1504796.613601414,1160454.073548861,77.11700458785315,fitted,NA,NA,8,468,512.0414750431617,499.4483289009784,0.9974169651607684,6,117,7,1,2,0,1,0,0,1,0,0,0,1,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,55,3
main_grade_10_12__a_H1CO13_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO13_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1GH46; num_H1RM1; num_H1MO10; num_H1WP14; num_H1PA7; num_H1MO5; num_H1MO14; num_H1GH44,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1GH46; num_H1RM1; num_H1MO10; num_H1WP14; num_H1PA7; num_H1MO5; num_H1MO14; num_H1GH44,1,1016,1016,23,993,23,993,3302114.364351778,76655.345372025,2.3214018932706724,fitted,NA,NA,31,985,224.12308179063825,132.90272421589586,1.1020287246722242,1,23,30,14,16,4,12,0,0,9,10,1,2,22,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,very_extreme_or_review,possible_conceptual_overlap_review,review_before_reporting,0,3
main_grade_10_12__a_H1CO16A_yesno__M0_core_controls,main_grade_10_12,a_H1CO16A_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,1763,1763,59,1704,59,1704,5604909.973560025,173021.344007809,3.0869602691925566,fitted,NA,NA,4,1759,485.71397372860434,474.6841050560143,0.9945727500437008,2,59,3,1,1,0,0,0,0,0,0,0,1,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1
main_grade_10_12__a_H1CO16A_yesno__M1_family_context,main_grade_10_12,a_H1CO16A_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1RM1; num_H1WP14,a_age_wave1; a_grade_wave1; num_H1RM1; num_H1WP14,1,1036,1036,26,1010,26,1010,3390627.988151241,87496.755015886,2.5805471824584947,fitted,NA,NA,9,1027,248.31795623762048,216.32743452312485,0.9851428391240212,3,26,8,5,5,0,3,0,0,1,3,0,2,4,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
