outcome,model_stage,model_purpose,theoretical_block_for_stage,outcome_family,modeling_priority,recommended_modeling_status,mandatory_controls,optional_controls_for_review,suggested_predictors,model_status,reviewer_note
a_sex_ever,M0_core_controls,Baseline model with mandatory controls.,core_sociodemographic_controls,sexual_initiation,primary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_sex_ever,M1_family_context,Assess family and household context net of core controls.,family_household_context,sexual_initiation,primary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1WP8; num_H1WP13; num_H1PR7; num_H1PR5; num_H1PR8,ready_for_script10_specification,
a_sex_ever,M2_school_context,Assess school and educational context net of core controls.,school_educational_context,sexual_initiation,primary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1ED23; num_H1PR2; num_H1ED20; num_H1ED24; num_H1ED19,ready_for_script10_specification,
a_sex_ever,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",knowledge_attitudes_perceptions,sexual_initiation,primary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1MO3; num_H1PF6; num_H1PA3; num_H1MO10; num_H1MO9,ready_for_script10_specification,
a_sex_ever,M4_peers_relationships,Assess peer and relationship context net of core controls.,peers_relationship_context,sexual_initiation,primary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1PF12; num_H1PF9; num_H1PF17,ready_for_script10_specification,
a_sex_ever,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,general_risk_behaviors,sexual_initiation,primary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_sex_ever,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,final_combined,sexual_initiation,primary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1MO3; num_H1PF6; num_H1PA3; num_H1MO10; num_H1MO9; num_H1MO2; num_H1HS9; num_H1GH46; num_H1BC6; num_H1WP8; num_H1PA7; num_H1GI1Y,ready_for_script10_specification,
a_H1CO8_yesno,M0_core_controls,Baseline model with mandatory controls.,core_sociodemographic_controls,condom_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO8_yesno,M1_family_context,Assess family and household context net of core controls.,family_household_context,condom_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1WP1; num_H1WP14; num_H1WP8,ready_for_script10_specification,
a_H1CO8_yesno,M2_school_context,Assess school and educational context net of core controls.,school_educational_context,condom_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO8_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",knowledge_attitudes_perceptions,condom_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6,ready_for_script10_specification,
a_H1CO8_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,peers_relationship_context,condom_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO8_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,general_risk_behaviors,condom_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO8_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,final_combined,condom_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,ready_for_script10_specification,
a_H1CO13_yesno,M0_core_controls,Baseline model with mandatory controls.,core_sociodemographic_controls,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO13_yesno,M1_family_context,Assess family and household context net of core controls.,family_household_context,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1WP13,ready_for_script10_specification,
a_H1CO13_yesno,M2_school_context,Assess school and educational context net of core controls.,school_educational_context,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO13_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",knowledge_attitudes_perceptions,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2,ready_for_script10_specification,
a_H1CO13_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,peers_relationship_context,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1PF12,ready_for_script10_specification,
a_H1CO13_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,general_risk_behaviors,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO13_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,final_combined,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2; num_H1SE1; num_H1WP13; num_H1PF12,ready_for_script10_specification,
a_H1CO3_yesno,M0_core_controls,Baseline model with mandatory controls.,core_sociodemographic_controls,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO3_yesno,M1_family_context,Assess family and household context net of core controls.,family_household_context,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1PR8; num_H1PR7; num_H1PR3; num_H1WP13; num_H1RM1,ready_for_script10_specification,
a_H1CO3_yesno,M2_school_context,Assess school and educational context net of core controls.,school_educational_context,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1PR2; num_H1ED20,ready_for_script10_specification,
a_H1CO3_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",knowledge_attitudes_perceptions,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1,ready_for_script10_specification,
a_H1CO3_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,peers_relationship_context,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1PF12,ready_for_script10_specification,
a_H1CO3_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,general_risk_behaviors,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO3_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,final_combined,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1; num_H1BC8; num_H1SE3; num_H1BC5; num_H1BC2; num_H1BC7; num_H1PF6; num_H1PR8,ready_for_script10_specification,
