variable_group,thesis_construct,conceptual_block,expected_wave_relevance,access_status,mapping_status,add_health_candidate_variable,use_in_main_analysis,notes
Sample alignment,Grade restriction: 10th to 12th grade at Wave I,Sample alignment variables,Wave I,public_expected,candidate,NA,Yes,Primary comparability criterion with the thesis because the thesis was based on students from 10th to 12th grade.
Sample alignment,Age restriction: 15 to 19 years at Wave I,Sample alignment variables,Wave I,public_expected,candidate,NA,Control or sensitivity,Complementary comparability criterion because the thesis population was approximately aged 15 to 19.
Sample alignment,Combined grade-age alignment,Sample alignment variables,Wave I,derived_possible,derived_after_import,NA,Sensitivity,Useful for a stricter sensitivity sample.
Main outcome,Early pregnancy or pregnancy-related outcome,Main outcomes,Wave I to Wave III; exact wave depends on public codebook,documentation_required,pending_codebook_review,NA,"Yes, if available in public-use documentation",Do not assume exact equivalence with the thesis outcome before codebook review.
Main outcome,HIV infection or HIV-related outcome,Main outcomes,Wave III onward more likely; must verify public availability,documentation_required,pending_codebook_review,NA,"Yes, if available in public-use documentation",Treat as sensitive. Use only if public documentation confirms availability and valid measurement.
Main outcome,General adolescent health risk outcome,Main outcomes,Wave I to Wave III,documentation_required,pending_codebook_review,NA,Alternative or complementary outcome,Define carefully to avoid vague or normative classification.
Behavioural risk,Sexual risk behaviour,Behavioural risk indicators,Wave I to Wave III,documentation_required,pending_codebook_review,NA,"Yes, if available and ethically appropriate","Use neutral, technical language. Avoid stigmatizing categories."
Behavioural risk,Other adolescent risk behaviour,Behavioural risk indicators,Wave I to Wave III,documentation_required,pending_codebook_review,NA,Control or complementary risk indicator,Use only as scientifically justified control or mechanism.
Individual control,Age at baseline,Individual characteristics,Wave I,public_expected,candidate,NA,Yes,Required for baseline demographic control.
Individual control,Sex,Individual characteristics,Wave I,public_expected,candidate,NA,Yes,Required for baseline demographic control.
Individual control,Race or ethnicity,Individual characteristics,Wave I,public_expected,candidate,NA,Yes,Use official Add Health categories; avoid over-disaggregation in public outputs.
Individual control,School grade at baseline,Individual characteristics,Wave I,public_expected,candidate,NA,Yes,Central variable for restricting the analytical sample.
Family context,Household socioeconomic status,Family and household context,Wave I,documentation_required,pending_codebook_review,NA,"Yes, if available",May require constructed index depending on available variables.
Family context,Parental education,Family and household context,Wave I,documentation_required,pending_codebook_review,NA,"Yes, if available",May be available from adolescent or parent questionnaire; verify source.
Family context,Household structure,Family and household context,Wave I,documentation_required,pending_codebook_review,NA,"Yes, if available",Potential confounder or heterogeneity variable.
Family context,Parental supervision or monitoring,Family and household context,Wave I to Wave II,documentation_required,pending_codebook_review,NA,"Yes, if available",Potential mechanism; verify exact wording and public availability.
School context,School attachment,School and peer context,Wave I to Wave II,documentation_required,pending_codebook_review,NA,"Yes, if available",Possible protective factor or mechanism.
School context,School environment,School and peer context,Wave I to Wave II,documentation_required,pending_codebook_review,NA,"Yes, if available",Use only if public-use documentation contains relevant variables.
Peer context,Peer risk environment,School and peer context,Wave I to Wave II; public-use limits expected,documentation_required,pending_codebook_review,NA,Only if public-use documentation permits,"Public-use files exclude direct identifiers of friends, siblings and romantic partners."
Knowledge and attitudes,Risk perception or health knowledge,"Knowledge, attitudes and expectations",Wave I to Wave III,documentation_required,pending_codebook_review,NA,"Yes, if available",Useful for interpretation of behavioural outcomes.
Health service and prevention,Health service use or prevention contact,Health service and prevention indicators,Wave I to Wave IV,documentation_required,pending_codebook_review,NA,"Yes, if available",Availability must be verified by wave and public-use status.
Longitudinal design,Survey wave,Longitudinal design variables,All waves,public_expected,candidate,wave,Yes,Required for longitudinal structure.
Longitudinal design,Respondent longitudinal identifier,Longitudinal design variables,"All waves, if public-use longitudinal linkage permits",documentation_required,pending_codebook_review,NA,Internal use only; never publish raw IDs,Do not publish raw IDs. Use internally only for permitted merges.
Longitudinal design,Sampling weights,Longitudinal design variables,Wave-specific; must verify documentation,documentation_required,pending_codebook_review,NA,"Yes, if available and appropriate for the model",Required for representative estimates if available.
Restricted identifiers,"School, cluster or contextual identifiers",Longitudinal design variables,"Likely restricted, masked or unavailable in public-use files",restricted_expected,not_available_public_use,NA,No,Do not use unless explicitly available in public-use files.
Restricted identifiers,"Friend, sibling or romantic partner identifiers",Longitudinal design variables,Not available in public-use files according to official access restrictions,restricted_expected,not_available_public_use,NA,No,Official public-use restrictions exclude these identifiers.
