priority_id,thesis_construct_block,thesis_item_codes,add_health_target_domain,expected_wave_priority,total_keyword_hits,n_documents_with_hits,status,feasibility_rating,feasibility_comment,decision_rule
1,Sample alignment,GRADE,School grade at Wave I,Wave I,194,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,Accept only if variable directly identifies grade or age at Wave I.
2,Sample alignment,AGE,Age at Wave I,Wave I,584,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,Accept only if variable directly identifies grade or age at Wave I.
3,Demographics,GEN,Sex or gender,Wave I,1723,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept only after confirming construct meaning, wave, coding and public-use status."
4,Household socioeconomic status,AFL1-AFL4,Household assets and family socioeconomic status,Wave I,1091,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept only after confirming construct meaning, wave, coding and public-use status."
5,Sexual initiation,SEX_EVER; ISX1,Ever had sex and age at first sex,Wave I to Wave III,523,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept only after confirming construct meaning, wave, coding and public-use status."
7,Condom use,ISX3; APC; AEF; IPC,Condom use and intention to use condom,Wave I to Wave III,373,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept if variable measures actual condom use, consistent use, intention, attitude or self-efficacy."
8,Contraceptive use,ISX3; APC; EPC; IPC,Contraception and birth control,Wave I to Wave III,1100,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept if variable measures contraceptive use, method use, intention or access."
9,Pregnancy outcome,Pregnancy-related outcome,Pregnancy history or pregnancy outcome,Wave I to Wave IV,981,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept only if pregnancy timing, pregnancy history or pregnancy outcome can be linked to eligible respondents."
10,HIV/STI outcome,HIV-related outcome,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,2794,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept if public-use files include diagnosis, testing, reported infection or related STI/HIV indicator; otherwise use proxy cautiously."
11,HIV/AIDS knowledge,INA1-INA4; CVS1-CVS9,HIV/AIDS knowledge and information exposure,Wave I to Wave III,3,1,moderate_documentary_signal,Moderate feasibility,Some documentation signal. Construct equivalence should be checked carefully.,"Accept if public-use files include diagnosis, testing, reported infection or related STI/HIV indicator; otherwise use proxy cautiously."
12,Perceived susceptibility,SUP1-SUP4,Perceived HIV/STI risk,Wave I to Wave III,15,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept only after confirming construct meaning, wave, coding and public-use status."
13,Perceived severity,SEP1-SEP4,Perceived seriousness of HIV/AIDS,Wave I to Wave III,36,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept only after confirming construct meaning, wave, coding and public-use status."
14,Perceived benefits,BEP1-BEP4,Benefits of condom use or prevention,Wave I to Wave III,2,1,weak_documentary_signal,Low to moderate feasibility,Limited documentation signal. Manual search in ICPSR Variables and ACE is required.,"Accept only after confirming construct meaning, wave, coding and public-use status."
15,Perceived barriers,BAP1-BAP3,Barriers to condom use or prevention,Wave I to Wave III,48,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept only after confirming construct meaning, wave, coding and public-use status."
16,Self-efficacy,AEF1-AEF7; EPC1-EPC3; EIS1-EIS3,"Condom, contraception and refusal self-efficacy",Wave I to Wave III,5,3,moderate_documentary_signal,Moderate feasibility,Some documentation signal. Construct equivalence should be checked carefully.,"Accept only after confirming construct meaning, wave, coding and public-use status."
17,Attitudes,AIS1-AIS3; APC1-APC3,"Attitudes toward sex, condom and contraception",Wave I to Wave III,8,4,moderate_documentary_signal,Moderate feasibility,Some documentation signal. Construct equivalence should be checked carefully.,"Accept only after confirming construct meaning, wave, coding and public-use status."
18,Peer norms,NPP1-NPP3; NP4-NP6,Peer norms and peer sexual behaviour,Wave I to Wave III,507,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept if variable measures peer norms or perceived peer behaviour, without restricted network identifiers."
19,Family monitoring,LFA1-LFA2,Parental monitoring,Wave I,11,4,strong_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept if variable measures parental monitoring, support, communication or family connectedness."
20,Family support,LFA3,Family support or connectedness,Wave I,4,3,moderate_documentary_signal,Moderate feasibility,Some documentation signal. Construct equivalence should be checked carefully.,"Accept if variable measures parental monitoring, support, communication or family connectedness."
21,School connectedness,Q01-Q07,School connectedness and school climate,Wave I to Wave II,3,3,moderate_documentary_signal,High feasibility,Strong documentation signal. Manual codebook review should focus on exact variable names and coding.,"Accept if variable measures school belonging, attachment, teacher support or school climate."
