model_id,sample_name,outcome,model_stage,model_purpose,requested_model_status,mandatory_controls,suggested_predictors,predictors_used,n_predictors_used,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,public_n_outcome_yes,public_n_outcome_no,weighted_total,weighted_outcome_yes,weighted_pct_yes,fit_status,skip_reason,warning_messages,n_parameters,residual_df,null_deviance,residual_deviance,dispersion
main_grade_10_12__a_H1CO13_yesno__M0_core_controls,main_grade_10_12,a_H1CO13_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,481,481,363,118,363,118,1525590.891950221,1177084.685278844,77.15598536211316,fitted,,,4,477,516.9640549924464,514.2028814973494,1.001869526605867
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP13,a_age_wave1; a_grade_wave1; num_H1WP13,1,268,268,205,63,205,63,876265.522789252,682273.064039452,77.86145252727735,fitted,,,8,260,283.35957608883626,272.20766513460853,1.0000726654503291
main_grade_10_12__a_H1CO13_yesno__M2_school_context,main_grade_10_12,a_H1CO13_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2,a_age_wave1; a_grade_wave1; num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2,1,409,409,303,106,303,106,1283707.277570078,973227.517264644,75.81381941737222,fitted,,,26,383,452.53110376915185,390.8939287671354,1.0157286985651552
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12,a_age_wave1; a_grade_wave1; num_H1PF12,1,476,476,359,117,359,117,1504796.613601414,1160454.073548861,77.11700458785315,fitted,,,8,468,512.0414750431617,499.4483289009784,0.9974169651607684
main_grade_10_12__a_H1CO13_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO13_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2; num_H1SE1; num_H1WP13; num_H1PF12,a_age_wave1; a_grade_wave1; num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2; num_H1SE1; num_H1WP13; num_H1PF12,1,244,244,184,60,184,60,794954.117228158,609545.168303489,76.67677355126456,fitted,,,38,206,265.0584311723712,214.9039092917934,0.9989989162464814
main_grade_10_12__a_H1CO16A_yesno__M0_core_controls,main_grade_10_12,a_H1CO16A_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,1763,1763,59,1704,59,1704,5604909.973560025,173021.344007809,3.0869602691925566,fitted,,,4,1759,485.71397372860434,474.6841050560143,0.9945727500437009
main_grade_10_12__a_H1CO16A_yesno__M1_family_context,main_grade_10_12,a_H1CO16A_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1RM1; num_H1WP14,a_age_wave1; a_grade_wave1; num_H1RM1; num_H1WP14,1,1036,1036,26,1010,26,1010,3390627.988151241,87496.755015886,2.5805471824584947,fitted,,,9,1027,248.31795623762048,216.32743452312485,0.9851428391240211
main_grade_10_12__a_H1CO16A_yesno__M2_school_context,main_grade_10_12,a_H1CO16A_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
