sample_name,outcome,outcome_label,selected_model_label,final_model_decision_label,final_model_reporting_status_label,suitability_score,n_interpretable_or_review_coefficients,narrative_reporting_status,final_narrative
main_grade_10_12,a_H1CO13_yesno,H1CO13,M0: Core controls,Alternative stable model,Ready for cautious reporting,100,0,model_ready_but_no_prioritized_coefficient,"For outcome H1CO13, the selected reporting model is M0: Core controls. The model decision is Alternative stable model, with reporting status: Ready for cautious reporting. Suitability score: 100/100. No coefficient from the selected model was prioritized for substantive interpretation. All results are associational and should not be interpreted as causal effects."
main_grade_10_12,a_H1CO16A_yesno,H1CO16A,M0: Core controls,Alternative stable model,Ready for cautious reporting,100,1,narrative_ready_for_cautious_reporting,"For outcome H1CO16A, the selected reporting model is M0: Core controls. The model decision is Alternative stable model, with reporting status: Ready for cautious reporting. Suitability score: 100/100. In the selected model, age is associated with higher odds of H1CO16A (OR = 1.58, 95% CI [1.06; 2.35], p = 0.024). Interpretation status: Candidate for cautious interpretation. All results are associational and should not be interpreted as causal effects."
main_grade_10_12,a_H1CO16C_yesno,H1CO16C,M0: Core controls,Alternative model with caution,Report only after manual review,75,1,narrative_requires_manual_review,"For outcome H1CO16C, the selected reporting model is M0: Core controls. The model decision is Alternative model with caution, with reporting status: Report only after manual review. Suitability score: 75/100. In the selected model, grade is associated with higher odds of H1CO16C (OR = 1.34, 95% CI [0.30; 6.05], p = 0.704). Interpretation status: Review: wide confidence interval. All results are associational and should not be interpreted as causal effects."
main_grade_10_12,a_H1CO3_yesno,H1CO3,M0: Core controls,Alternative stable model,Ready for cautious reporting,100,0,model_ready_but_no_prioritized_coefficient,"For outcome H1CO3, the selected reporting model is M0: Core controls. The model decision is Alternative stable model, with reporting status: Ready for cautious reporting. Suitability score: 100/100. No coefficient from the selected model was prioritized for substantive interpretation. All results are associational and should not be interpreted as causal effects."
main_grade_10_12,a_H1CO6_yesno,H1CO6,M0: Core controls,Alternative stable model,Ready for cautious reporting,100,1,narrative_ready_for_cautious_reporting,"For outcome H1CO6, the selected reporting model is M0: Core controls. The model decision is Alternative stable model, with reporting status: Ready for cautious reporting. Suitability score: 100/100. In the selected model, age is associated with lower odds of H1CO6 (OR = 0.84, 95% CI [0.72; 0.98], p = 0.031). Interpretation status: Candidate for cautious interpretation. All results are associational and should not be interpreted as causal effects."
main_grade_10_12,a_H1CO8_yesno,H1CO8,M0: Core controls,Alternative stable model,Ready for cautious reporting,100,1,narrative_ready_for_cautious_reporting,"For outcome H1CO8, the selected reporting model is M0: Core controls. The model decision is Alternative stable model, with reporting status: Ready for cautious reporting. Suitability score: 100/100. In the selected model, age is associated with higher odds of H1CO8 (OR = 1.36, 95% CI [1.00; 1.85], p = 0.050). Interpretation status: Candidate for cautious interpretation. All results are associational and should not be interpreted as causal effects."
main_grade_10_12,a_H1FP7_yesno,H1FP7,M0: Core controls,Alternative stable model,Ready for cautious reporting,100,1,narrative_ready_for_cautious_reporting,"For outcome H1FP7, the selected reporting model is M0: Core controls. The model decision is Alternative stable model, with reporting status: Ready for cautious reporting. Suitability score: 100/100. In the selected model, age is associated with higher odds of H1FP7 (OR = 1.95, 95% CI [1.45; 2.62], p = <0.001). Interpretation status: Candidate for cautious interpretation. All results are associational and should not be interpreted as causal effects."
main_grade_10_12,a_H1HS9_yesno,H1HS9,M0: Core controls,Alternative stable model,Ready for cautious reporting,100,1,narrative_ready_for_cautious_reporting,"For outcome H1HS9, the selected reporting model is M0: Core controls. The model decision is Alternative stable model, with reporting status: Ready for cautious reporting. Suitability score: 100/100. In the selected model, age is associated with higher odds of H1HS9 (OR = 1.61, 95% CI [1.30; 1.98], p = <0.001). Interpretation status: Candidate for cautious interpretation. All results are associational and should not be interpreted as causal effects."
main_grade_10_12,a_sex_ever,sex ever,M0: Core controls,Alternative stable model,Ready for cautious reporting,100,3,narrative_ready_for_cautious_reporting,"For outcome sex ever, the selected reporting model is M0: Core controls. The model decision is Alternative stable model, with reporting status: Ready for cautious reporting. Suitability score: 100/100. In the selected model, age is associated with higher odds of sex ever (OR = 1.33, 95% CI [1.19; 1.50], p = <0.001). Interpretation status: Candidate for cautious interpretation. In the selected model, grade is associated with higher odds of sex ever (OR = 1.49, 95% CI [1.12; 1.99], p = 0.007). Interpretation status: Candidate for cautious interpretation. In the selected model, grade is associated with higher odds of sex ever (OR = 1.32, 95% CI [1.06; 1.63], p = 0.012). Interpretation status: Candidate for cautious interpretation. All results are associational and should not be interpreted as causal effects."
strict_grade_10_12_age_15_19,a_H1CO13_yesno,H1CO13,M0: Core controls,Alternative stable model,Ready for cautious reporting,100,0,model_ready_but_no_prioritized_coefficient,"For outcome H1CO13, the selected reporting model is M0: Core controls. The model decision is Alternative stable model, with reporting status: Ready for cautious reporting. Suitability score: 100/100. No coefficient from the selected model was prioritized for substantive interpretation. All results are associational and should not be interpreted as causal effects."
