thesis_section,thesis_item_code,item_short_description,theoretical_model,construct,variable_role,response_scale,expected_add_health_equivalent,priority_for_mapping,notes
Demographic and socioeconomic characteristics,RES,"Place of residence: Matola, Boane or Namaacha",Socioecological model,Geographic context,Control or stratification variable,single_choice_location,"Urban/rural or region variable, if public-use Add Health permits",Medium,Direct district equivalence is not expected in Add Health.
Demographic and socioeconomic characteristics,GEN,Gender,Socioecological model,Gender,Control and heterogeneity variable,single_choice_gender,Sex or gender variable,High,Core control variable.
Demographic and socioeconomic characteristics,AGE,Age from 15 to 19 years,Socioecological model,Age,Sample criterion and control variable,single_choice_age,Age at Wave I,High,Complementary alignment criterion with the thesis.
Demographic and socioeconomic characteristics,GRADE,"School grade: 10th, 11th or 12th",Socioecological model,School grade,Main sample criterion,single_choice_grade,Grade at Wave I,High,Primary comparability criterion with the thesis.
Household socioeconomic characteristics,AFL1,"Family owns car, van or truck",Socioecological model,Household assets,SES proxy,asset_count,Household assets or parental SES,High,Candidate for asset-based socioeconomic index.
Household socioeconomic characteristics,AFL2,Own bedroom,Socioecological model,Household assets,SES proxy,asset_count,Own room or housing conditions,Medium,May have approximate equivalent.
Household socioeconomic characteristics,AFL3,Family vacation frequency in the last 12 months,Socioecological model,Household assets,SES proxy,asset_count,Family SES or household resources,Medium,May not have direct equivalent.
Household socioeconomic characteristics,AFL4,Number of computers at home,Socioecological model,Household assets,SES proxy,asset_count,Computer ownership or household assets,Medium,May have equivalent depending on Add Health wave.
Sexuality information,CULT_PRESEX,Cultural permissiveness toward sexual relations before adulthood,Socioecological model,Cultural norms,Contextual explanatory variable,yes_no,"Attitudes, family norms or perceived norms about adolescent sex",Medium,Direct equivalence uncertain.
Sexuality information,SEX_EVER,Ever had sexual relations,Behavioural risk model,Sexual initiation,Outcome or sample stratification variable,yes_no,Ever had sexual intercourse,High,Core behavioural variable.
Sexuality information,ISX1,Age at first sexual relation,Behavioural risk model,Early sexual initiation,Outcome or risk indicator,sexual_history_category,Age at first intercourse,High,Central outcome or timing variable.
Sexuality information,ISX2,Number of sexual partners in the last year,Behavioural risk model,Multiple partners,Outcome or risk indicator,sexual_history_category,Number of sexual partners,High,Sensitive variable; report only aggregate outputs.
Sexuality information,ISX3,Frequency of condom or contraceptive use in the last year,Behavioural risk model,Condom or contraceptive use,Main outcome or protective behaviour,sexual_history_category,Condom use and contraceptive use,High,Central outcome for protection models.
Sexuality information,ISX4,Frequency of sexual relations in the last year,Behavioural risk model,Sexual activity frequency,Risk exposure indicator,sexual_history_category,Frequency of sexual intercourse,Medium,Use with disclosure caution.
