thesis_section,thesis_item_code,item_short_description,theoretical_model,construct,variable_role,response_scale,expected_add_health_equivalent,add_health_wave,add_health_file_or_codebook,add_health_variable_name,add_health_variable_label,public_use_status,mapping_quality,notes,script02_documentation_status,script02_next_action
Demographic and socioeconomic characteristics,RES,"Place of residence: Matola, Boane or Namaacha",Socioecological model,Geographic context,Control or stratification variable,single_choice_location,"Urban/rural or region variable, if public-use Add Health permits",NA,NA,NA,NA,to_be_verified,to_be_verified,Direct district equivalence is not expected in Add Health.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Demographic and socioeconomic characteristics,GEN,Gender,Socioecological model,Gender,Control and heterogeneity variable,single_choice_gender,Sex or gender variable,NA,NA,NA,NA,to_be_verified,to_be_verified,Core control variable.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Demographic and socioeconomic characteristics,AGE,Age from 15 to 19 years,Socioecological model,Age,Sample criterion and control variable,single_choice_age,Age at Wave I,NA,NA,NA,NA,to_be_verified,to_be_verified,Complementary alignment criterion with the thesis.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Demographic and socioeconomic characteristics,GRADE,"School grade: 10th, 11th or 12th",Socioecological model,School grade,Main sample criterion,single_choice_grade,Grade at Wave I,NA,NA,NA,NA,to_be_verified,to_be_verified,Primary comparability criterion with the thesis.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Household socioeconomic characteristics,AFL1,"Family owns car, van or truck",Socioecological model,Household assets,SES proxy,asset_count,Household assets or parental SES,NA,NA,NA,NA,to_be_verified,to_be_verified,Candidate for asset-based socioeconomic index.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Household socioeconomic characteristics,AFL2,Own bedroom,Socioecological model,Household assets,SES proxy,asset_count,Own room or housing conditions,NA,NA,NA,NA,to_be_verified,to_be_verified,May have approximate equivalent.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Household socioeconomic characteristics,AFL3,Family vacation frequency in the last 12 months,Socioecological model,Household assets,SES proxy,asset_count,Family SES or household resources,NA,NA,NA,NA,to_be_verified,to_be_verified,May not have direct equivalent.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Household socioeconomic characteristics,AFL4,Number of computers at home,Socioecological model,Household assets,SES proxy,asset_count,Computer ownership or household assets,NA,NA,NA,NA,to_be_verified,to_be_verified,May have equivalent depending on Add Health wave.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Sexuality information,CULT_PRESEX,Cultural permissiveness toward sexual relations before adulthood,Socioecological model,Cultural norms,Contextual explanatory variable,yes_no,"Attitudes, family norms or perceived norms about adolescent sex",NA,NA,NA,NA,to_be_verified,to_be_verified,Direct equivalence uncertain.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Sexuality information,SEX_EVER,Ever had sexual relations,Behavioural risk model,Sexual initiation,Outcome or sample stratification variable,yes_no,Ever had sexual intercourse,NA,NA,NA,NA,to_be_verified,to_be_verified,Core behavioural variable.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Sexuality information,ISX1,Age at first sexual relation,Behavioural risk model,Early sexual initiation,Outcome or risk indicator,sexual_history_category,Age at first intercourse,NA,NA,NA,NA,to_be_verified,to_be_verified,Central outcome or timing variable.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Sexuality information,ISX2,Number of sexual partners in the last year,Behavioural risk model,Multiple partners,Outcome or risk indicator,sexual_history_category,Number of sexual partners,NA,NA,NA,NA,to_be_verified,to_be_verified,Sensitive variable; report only aggregate outputs.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Sexuality information,ISX3,Frequency of condom or contraceptive use in the last year,Behavioural risk model,Condom or contraceptive use,Main outcome or protective behaviour,sexual_history_category,Condom use and contraceptive use,NA,NA,NA,NA,to_be_verified,to_be_verified,Central outcome for protection models.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Sexuality information,ISX4,Frequency of sexual relations in the last year,Behavioural risk model,Sexual activity frequency,Risk exposure indicator,sexual_history_category,Frequency of sexual intercourse,NA,NA,NA,NA,to_be_verified,to_be_verified,Use with disclosure caution.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,SUP1,Possibility of contracting AIDS,Health Belief Model,Perceived susceptibility,Explanatory construct,likert_agreement_5,Perceived risk of HIV or STI infection,NA,NA,NA,NA,to_be_verified,to_be_verified,MCS core construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,SUP2,Fear of contracting AIDS,Health Belief Model,Perceived susceptibility,Explanatory construct,likert_agreement_5,Worry or fear about HIV/STI,NA,NA,NA,NA,to_be_verified,to_be_verified,MCS core construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,SUP3,Perceived HIV exposure through heterosexual partner,Health Belief Model,Perceived susceptibility,Explanatory construct,likert_agreement_5,Perceived partner-related HIV/STI risk,NA,NA,NA,NA,to_be_verified,to_be_verified,Direct equivalent uncertain.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,SUP4,Perceived risk even with one sexual partner,Health Belief Model,Perceived susceptibility,Explanatory construct,likert_agreement_5,Perceived HIV/STI risk with partner context,NA,NA,NA,NA,to_be_verified,to_be_verified,Direct equivalent uncertain.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,SEP1,AIDS causes death,Health Belief Model,Perceived severity,Explanatory construct,likert_agreement_5,Perceived seriousness of HIV/AIDS,NA,NA,NA,NA,to_be_verified,to_be_verified,MCS core construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,SEP2,Preference for another terminal disease instead of AIDS,Health Belief Model,Perceived severity,Explanatory construct,likert_agreement_5,Perceived seriousness or fear of AIDS,NA,NA,NA,NA,to_be_verified,to_be_verified,May be too specific for Add Health.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
