priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_wave_priority,mapping_priority,total_keyword_hits,n_documents_with_hits,status,manual_review_priority,equivalence_strategy,expected_analytic_use,recommended_number_of_variables,core_keywords,mapping_rationale,decision_rule,recommended_action,final_status_after_script03b
1,Sample alignment,GRADE,Socioecological model,School grade at Wave I,Wave I,Critical,194,4,strong_documentary_signal,1 - Immediate review,Direct sample restriction,Sample restriction,1-2,grade; school grade; current grade; 10th grade; 11th grade; 12th grade,Required to restrict the Add Health sample to grades 10-12.,Accept only if variable directly identifies grade or age at Wave I.,Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
2,Sample alignment,AGE,Socioecological model,Age at Wave I,Wave I,Critical,584,4,strong_documentary_signal,1 - Immediate review,Direct sample restriction,Sample restriction,1-2,age; age at interview; date of birth,Required for complementary 15-19 age alignment.,Accept only if variable directly identifies grade or age at Wave I.,Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
5,Sexual initiation,SEX_EVER; ISX1,Behavioural risk model,Ever had sex and age at first sex,Wave I to Wave III,Critical,523,4,strong_documentary_signal,1 - Immediate review,Direct or near-direct behavioural outcome,Outcome or key behavioural variable,1-4,ever had sex; sexual intercourse; first sex; age first sex; age at first intercourse,Central behavioural outcome and risk indicator.,"Accept only after confirming construct meaning, wave, coding and public-use status.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
7,Condom use,ISX3; APC; AEF; IPC,Health Belief Model / Theory of Planned Behaviour,Condom use and intention to use condom,Wave I to Wave III,Critical,373,4,strong_documentary_signal,1 - Immediate review,Direct or near-direct protective behaviour,Outcome or key behavioural variable,1-4,condom; condom use; used condom; use condoms; always use condom,Central protective behaviour in the thesis.,"Accept if variable measures actual condom use, consistent use, intention, attitude or self-efficacy.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,1100,4,strong_documentary_signal,1 - Immediate review,Direct or near-direct protective behaviour,Outcome or key behavioural variable,1-4,contraception; contraceptive; birth control; pill; method,Central pregnancy-prevention construct.,"Accept if variable measures contraceptive use, method use, intention or access.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,981,4,strong_documentary_signal,1 - Immediate review,Direct or near-direct reproductive health outcome,Outcome or key behavioural variable,1-4,pregnant; pregnancy; got pregnant; pregnancy outcome; birth,Key thesis outcome related to early pregnancy.,"Accept only if pregnancy timing, pregnancy history or pregnancy outcome can be linked to eligible respondents.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,2794,4,strong_documentary_signal,1 - Immediate review,"Direct, proxy or related health outcome depending on public-use availability",Outcome or key behavioural variable,1-4,HIV; AIDS; STI; STD; sexually transmitted; test; diagnosis,Key thesis outcome or related health indicator.,"Accept if public-use files include diagnosis, testing, reported infection or related STI/HIV indicator; otherwise use proxy cautiously.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
16,Self-efficacy,AEF1-AEF7; EPC1-EPC3; EIS1-EIS3,Theory of Planned Behaviour / Health Belief Model,"Condom, contraception and refusal self-efficacy",Wave I to Wave III,Critical,5,3,moderate_documentary_signal,1 - Immediate review,Construct-level equivalence likely,Theory of Planned Behaviour construct,"2-6, construct score if items are consistent",self efficacy; sure could; could use condom; refuse sex; say no; convince partner,Central bridge construct in the thesis.,"Accept only after confirming construct meaning, wave, coding and public-use status.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
18,Peer norms,NPP1-NPP3; NP4-NP6,Theory of Planned Behaviour / Socioecological model,Peer norms and peer sexual behaviour,Wave I to Wave III,Critical,507,4,strong_documentary_signal,1 - Immediate review,Construct-level equivalence likely; check public-use restrictions,Theory of Planned Behaviour construct,"2-6, construct score if items are consistent",friends; peers; peer pressure; friends had sex; friends use condoms; friends think,Central TCP and socioecological construct.,"Accept if variable measures peer norms or perceived peer behaviour, without restricted network identifiers.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
19,Family monitoring,LFA1-LFA2,Socioecological model,Parental monitoring,Wave I,Critical,11,4,strong_documentary_signal,1 - Immediate review,Construct-level equivalence likely,Socioecological predictor or mediator,"2-6, construct score if items are consistent",parents know; know where; know who; whereabouts; parents know friends,Strong expected equivalence with Add Health family items.,"Accept if variable measures parental monitoring, support, communication or family connectedness.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
21,School connectedness,Q01-Q07,Socioecological model,School connectedness and school climate,Wave I to Wave II,Critical,3,3,moderate_documentary_signal,1 - Immediate review,Construct-level equivalence likely,Socioecological predictor or mediator,"2-6, construct score if items are consistent",school connectedness; feel part of school; teachers care; school belonging; school climate,Important contextual construct from the qualitative component.,"Accept if variable measures school belonging, attachment, teacher support or school climate.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
3,Demographics,GEN,Socioecological model,Sex or gender,Wave I,High,1723,4,strong_documentary_signal,2 - High priority,Direct control variable,Control or stratification,2-4,sex; gender; male; female,Core control and heterogeneity variable.,"Accept only after confirming construct meaning, wave, coding and public-use status.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
4,Household socioeconomic status,AFL1-AFL4,Socioecological model,Household assets and family socioeconomic status,Wave I,High,1091,4,strong_documentary_signal,2 - High priority,Proxy or index construction,Control or stratification,"3-6, possibly index",car; vehicle; own room; computer; household; parent education; income,Required to approximate socioeconomic position.,"Accept only after confirming construct meaning, wave, coding and public-use status.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
11,HIV/AIDS knowledge,INA1-INA4; CVS1-CVS9,Health Belief Model,HIV/AIDS knowledge and information exposure,Wave I to Wave III,High,3,1,moderate_documentary_signal,2 - High priority,"Direct, proxy or related health outcome depending on public-use availability",Outcome or key behavioural variable,"3-10, possibly index",AIDS knowledge; HIV knowledge; transmission; prevention; sex education; AIDS education,Knowledge was a core construct in the thesis.,"Accept if public-use files include diagnosis, testing, reported infection or related STI/HIV indicator; otherwise use proxy cautiously.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,15,4,strong_documentary_signal,2 - High priority,Partial construct equivalence likely,Health Belief Model construct,"2-6, construct score if items are consistent",risk of AIDS; risk of HIV; worried; worry; chance of getting AIDS; chance of getting HIV,Core MCS construct.,"Accept only after confirming construct meaning, wave, coding and public-use status.",Review pages and manually confirm variable names and coding.,pending_manual_codebook_review
